team1,team1_bpi,team2,team2_bpi,team1_points,team2_points,points_difference,offensive_efficiency_team1,offensive_efficiency_team2,offensive_efficiency_difference,defensive_efficiency_team1,defensive_efficiency_team2,defensive_efficiency_difference,team1_tempo,team2_tempo,tempo_difference,team1_efgpct,team2_efgpct,efgpct_difference,team1_experience,team2_experience,experience_difference,team1_rating,team2_rating,rating_difference,team1_winner,team2_winner
Kentucky Wildcats,14,Ole Miss Rebels,30,84,98,14,125.30,118.10,7.20,100.90,96.00,4.90,70.82,68.33,2.49,56.17,51.85,4.33,3.09,3.46,0.37,24.4,22.1,2.3,0,1
Arizona Wildcats,10,BYU Cougars,24,85,74,11,120.20,123.50,3.30,95.00,101.20,6.20,70.28,67.28,3.00,52.14,57.79,5.65,2.72,1.92,0.80,25.2,22.3,2.9,1,0
Indiana Hoosiers,51,Wisconsin Badgers,19,64,76,10,115.40,124.00,8.60,98.80,97.30,1.50,68.38,67.70,0.68,52.13,54.95,2.82,2.27,2.62,0.36,16.6,26.7,10.1,0,1
Missouri Tigers,31,Tennessee Volunteers,5,81,85,4,126.20,118.60,7.60,100.40,87.20,13.20,68.31,63.93,4.38,56.80,52.49,4.31,2.64,2.92,0.29,25.8,31.4,5.6,0,1
Oregon Ducks,37,Michigan Wolverines,32,76,80,4,117.80,117.10,0.70,98.20,96.00,2.20,68.10,69.84,1.74,52.36,55.62,3.25,2.69,2.24,0.45,19.6,21.1,1.5,0,1
Maryland Terrapins,13,Ohio State Buckeyes,35,70,73,3,118.50,118.10,0.40,93.70,98.60,4.90,70.08,67.51,2.57,54.50,53.70,0.80,2.14,2.16,0.02,24.8,19.5,5.3,0,1
USC Trojans,57,Purdue Boilermakers,16,72,90,18,116.70,124.10,7.40,104.20,99.50,4.70,68.62,65.39,3.23,54.22,56.57,2.35,2.53,1.73,0.80,12.5,24.6,12.1,0,1
St. John's Red Storm,17,UConn Huskies,20,68,62,6,113.90,122.40,8.50,89.20,104.10,14.90,70.11,64.33,5.78,49.54,55.74,6.20,2.36,1.75,0.60,24.7,18.3,6.4,1,0
Florida Gators,4,Auburn Tigers,3,90,81,9,126.90,130.70,3.80,93.00,93.10,0.10,69.49,68.56,0.92,54.40,56.05,1.65,2.41,2.79,0.38,33.9,37.6,3.7,1,0
Duke Blue Devils,1,Clemson Tigers,15,71,77,6,128.90,121.00,7.90,89.80,96.40,6.60,66.06,64.08,1.99,57.66,54.51,3.16,1.93,3.02,1.09,39.1,24.6,14.5,0,1
Alabama Crimson Tide,6,Arkansas Razorbacks,43,85,81,4,127.30,111.80,15.50,97.90,95.00,2.90,75.00,69.16,5.84,56.57,52.28,4.29,2.99,1.54,1.45,29.4,16.8,12.6,1,0
Tennessee Volunteers,5,Oklahoma Sooners,50,70,52,18,118.60,118.40,0.20,87.20,101.80,14.60,63.93,68.74,4.81,52.49,54.78,2.29,2.92,2.31,0.61,31.4,16.6,14.8,1,0
TCU Horned Frogs,62,Iowa State Cyclones,7,52,82,30,107.10,119.50,12.40,97.40,93.10,4.30,66.93,68.94,2.01,47.58,54.22,6.64,1.94,2.82,0.88,9.7,26.4,16.7,0,1
Oregon Ducks,37,Michigan State Spartans,11,74,86,12,117.80,118.10,0.30,98.20,91.20,7.00,68.10,67.80,0.30,52.36,50.96,1.41,2.69,1.62,1.08,19.6,26.9,7.3,0,1
Texas A&M Aggies,23,Missouri Tigers,31,67,64,3,115.90,126.20,10.30,93.00,100.40,7.40,66.77,68.31,1.54,47.60,56.80,9.20,2.97,2.64,0.33,22.9,25.8,2.9,1,0
Marquette Golden Eagles,18,Creighton Bluejays,25,67,77,10,118.30,116.10,2.20,95.70,98.00,2.30,67.56,68.00,0.44,52.26,55.36,3.10,2.05,2.65,0.60,22.6,18.1,4.5,0,1
Texas Tech Red Raiders,8,Arizona Wildcats,10,73,82,9,124.30,120.20,4.10,96.70,95.00,1.70,65.85,70.28,4.43,55.64,52.14,3.50,2.67,2.72,0.05,27.6,25.2,2.4,0,1
Kansas Jayhawks,12,Kansas State Wildcats,61,73,81,8,115.40,111.60,3.80,92.20,99.40,7.20,68.76,67.53,1.23,53.14,51.30,1.83,3.62,2.55,1.07,23.2,12.2,11,0,1
Wisconsin Badgers,19,Iowa Hawkeyes,63,74,63,11,124.00,118.10,5.90,97.30,107.00,9.70,67.70,70.01,2.31,54.95,56.34,1.39,2.62,1.77,0.85,26.7,11.1,15.6,1,0
Mississippi State Bulldogs,36,Georgia Bulldogs,38,76,75,1,119.10,115.50,3.60,98.70,96.60,2.10,67.92,66.79,1.12,51.98,52.49,0.52,2.27,1.87,0.41,20.4,18.9,1.5,1,0
Michigan Wolverines,32,Indiana Hoosiers,51,70,67,3,117.10,115.40,1.70,96.00,98.80,2.80,69.84,68.38,1.46,55.62,52.13,3.49,2.24,2.27,0.03,21.1,16.6,4.5,1,0
Baylor Bears,21,Houston Cougars ,2,65,76,11,121.10,124.90,3.80,100.80,89.50,11.30,65.38,61.18,4.20,52.05,53.21,1.16,2.72,2.63,0.09,20.3,35.4,15.1,0,1
North Carolina Tar Heels,27,Clemson Tigers,15,65,85,20,119.20,121.00,1.80,102.00,96.40,5.60,70.94,64.08,6.87,54.26,54.51,0.25,2.24,3.02,0.77,17.2,24.6,7.4,0,1
Auburn Tigers,3,Vanderbilt Commodores,55,80,68,12,130.70,119.90,10.80,93.10,102.10,9.00,68.56,69.40,0.84,56.05,52.27,3.78,2.79,2.39,0.40,37.6,17.8,19.8,1,0
Alabama Crimson Tide,6,Texas Tech Red Raiders,8,103,80,23,127.30,124.30,3.00,97.90,96.70,1.20,75.00,65.85,9.16,56.57,55.64,0.93,2.99,2.67,0.32,29.4,27.6,1.8,1,0
Florida Gators,4,Mississippi State Bulldogs,36,81,68,13,126.90,119.10,7.80,93.00,98.70,5.70,69.49,67.92,1.57,54.40,51.98,2.42,2.41,2.27,0.14,33.9,20.4,13.5,1,0
Tennessee Volunteers,5,Kentucky Wildcats,14,64,75,11,118.60,125.30,6.70,87.20,100.90,13.70,63.93,70.82,6.89,52.49,56.17,3.68,2.92,3.09,0.16,31.4,24.4,7,0,1
Purdue Boilermakers,16,Michigan Wolverines,32,73,75,2,124.10,117.10,7.00,99.50,96.00,3.50,65.39,69.84,4.45,56.57,55.62,0.95,1.73,2.24,0.51,24.6,21.1,3.5,0,1
Georgia Bulldogs,38,Texas A&M Aggies,23,53,69,16,115.50,115.90,0.40,96.60,93.00,3.60,66.79,66.77,0.02,52.49,47.60,4.89,1.87,2.97,1.10,18.9,22.9,4,0,1
Indiana Hoosiers,51,Michigan State Spartans,11,71,67,4,115.40,118.10,2.70,98.80,91.20,7.60,68.38,67.80,0.58,52.13,50.96,1.17,2.27,1.62,0.65,16.6,26.9,10.3,1,0
Arizona Wildcats,10,Kansas State Wildcats,61,70,73,3,120.20,111.60,8.60,95.00,99.40,4.40,70.28,67.53,2.75,52.14,51.30,0.84,2.72,2.55,0.17,25.2,12.2,13,0,1
UConn Huskies,20,Creighton Bluejays,25,70,66,4,122.40,116.10,6.30,104.10,98.00,6.10,64.33,68.00,3.67,55.74,55.36,0.38,1.75,2.65,0.90,18.3,18.1,0.2,1,0
St. John's Red Storm,17,Villanova Wildcats,41,71,73,2,113.90,119.70,5.80,89.20,104.60,15.40,70.11,63.20,6.91,49.54,55.41,5.87,2.36,2.87,0.52,24.7,15.1,9.6,0,1
Oklahoma Sooners,50,Missouri Tigers,31,58,82,24,118.40,126.20,7.80,101.80,100.40,1.40,68.74,68.31,0.42,54.78,56.80,2.02,2.31,2.64,0.33,16.6,25.8,9.2,0,1
Maryland Terrapins,13,Nebraska Cornhuskers,52,83,75,8,118.50,113.20,5.30,93.70,97.60,3.90,70.08,67.55,2.53,54.50,51.57,2.93,2.14,2.79,0.64,24.8,15.6,9.2,1,0
Auburn Tigers,3,Alabama Crimson Tide,6,94,85,11,130.70,127.30,3.40,93.10,97.90,4.80,68.56,75.00,6.44,56.05,56.57,0.52,2.79,2.99,0.20,37.6,29.4,8.2,1,0
Vanderbilt Commodores,55,Tennessee Volunteers,5,76,81,5,119.90,118.60,1.30,102.10,87.20,14.90,69.40,63.93,5.47,52.27,52.49,0.22,2.39,2.92,0.53,17.8,31.4,13.6,0,1
Houston Cougars,2,Arizona Wildcats,10,62,58,6,124.90,120.20,4.70,89.50,95.00,5.50,61.18,70.28,9.10,53.21,52.14,1.06,2.63,2.72,0.09,35.4,25.2,10.2,1,0
Wisconsin Badgers,19,Purdue Boilermakers,16,94,84,10,124.00,124.10,0.10,97.30,99.50,2.20,67.70,65.39,2.31,54.95,56.57,1.62,2.62,1.73,0.89,26.7,24.6,2.1,1,0
Arkansas Razorbacks,43,Texas A&M Aggies,23,61,69,8,111.80,115.90,4.10,95.00,93.00,2.00,69.16,66.77,2.39,52.28,47.60,4.68,1.54,2.97,1.43,16.8,22.9,6.1,0,1
Cincinnati Bearcats,39,Iowa State Cyclones,7,70,81,11,112.60,119.50,6.90,96.50,93.10,3.40,65.54,68.94,3.40,51.79,54.22,2.43,2.21,2.82,0.61,16.1,26.4,10.3,0,1
Michigan State Spartans,11,Illinois Fighting Illini,22,79,65,14,118.10,121.90,3.80,91.20,97.70,6.50,67.80,71.57,3.77,50.96,52.13,1.17,1.62,1.07,0.54,26.9,24.2,2.7,1,0
Kentucky Wildcats,14,Texas Longhorns,34,78,82,4,125.30,116.70,8.60,100.90,100.70,0.20,70.82,67.42,3.40,56.17,52.90,3.28,3.09,2.85,0.24,24.4,16,8.4,0,1
Kansas Jayhawks,12,Utah Utes,58,67,74,7,115.40,113.60,1.80,92.20,102.00,9.80,68.76,68.82,0.06,53.14,52.58,0.56,3.62,2.04,1.58,23.2,11.6,11.6,0,1
Mississippi State Bulldogs,36,Ole Miss Rebels,30,81,71,10,119.10,118.10,1.00,98.70,96.00,2.70,67.92,68.33,0.42,51.98,51.85,0.13,2.27,3.46,1.19,20.4,22.1,1.7,1,0
Missouri Tigers,31,Georgia Bulldogs,38,87,74,13,126.20,115.50,10.70,100.40,96.60,3.80,68.31,66.79,1.52,56.80,52.49,4.30,2.64,1.87,0.77,25.8,18.9,6.9,1,0
Creighton Bluejays,25,St. John's Red Storm,17,73,79,6,116.10,113.90,2.20,98.00,89.20,8.80,68.00,70.11,2.11,55.36,49.54,5.82,2.65,2.36,0.30,18.1,24.7,6.6,0,1
Michigan Wolverines,32,Ohio State Buckeyes,35,86,83,3,117.10,118.10,1.00,96.00,98.60,2.60,69.84,67.51,2.33,55.62,53.70,1.92,2.24,2.16,0.08,21.1,19.5,1.6,1,0
