team1,team1_bpi,team2,team2_bpi,team1_points,team2_points,points_difference,offensive_efficiency_team1,offensive_efficiency_team2,offensive_efficiency_difference,defensive_efficiency_team1,defensive_efficiency_team2,defensive_efficiency_difference,team1_tempo,team2_tempo,tempo_difference,team1_efgpct,team2_efgpct,efgpct_difference,team1_experience,team2_experience,experience_difference,team1_rating,team2_rating,rating_difference,team1_winner,team2_winner
Baylor Bears,21,Gonzaga Bulldogs,9,63,101,38,121.10,125.20,4.10,100.80,97.90,2.90,65.38,70.40,5.02,52.05,56.41,4.36,2.72,2.97,0.12,20.3,27.3,7,0,1
Ohio State Buckeyes,35,Texas Longhorns,34,80,72,8,118.10,116.70,1.40,98.60,100.70,2.10,67.51,67.40,0.11,53.70,52.90,0.81,2.16,2.85,1.46,19.5,16,3.5,1,0
North Carolina Tar Heels,27,Kansas Jayhawks,11,89,92,3,119.20,115.40,3.80,102.00,92.20,9.80,70.94,68.80,2.14,54.26,53.14,1.12,2.24,3.62,0.01,17.2,23.2,6,0,1
New Mexico Lobos,49,UCLA Bruins,26,72,64,8,113.70,116.50,2.80,96.60,95.00,1.60,73.34,64.90,8.44,51.25,52.94,1.69,2.45,2.23,0.19,17.1,21.5,4.4,1,0
Auburn Tigers,3,Houston Cougars,2,74,69,5,130.70,124.90,5.80,93.10,89.50,3.60,68.56,61.20,7.36,56.05,53.21,2.84,2.79,2.63,1.25,37.6,35.4,2.2,1,0
Baylor Bears,21,Arkansas Razorbacks,43,72,67,5,121.10,111.80,9.30,100.80,95.00,5.80,65.38,69.20,3.82,52.05,52.28,0.23,2.72,1.54,0.45,20.3,16.8,3.5,1,0
Tennessee Volunteers,4,Louisville Cardinals,30,77,55,22,118.60,118.90,0.30,87.20,96.40,9.20,63.93,69.10,5.17,52.49,53.55,1.06,2.92,3.17,0.69,31.4,22.5,8.9,1,0
Michigan State Spartans,12,Kansas Jayhawks,11,69,77,8,115.40,120.20,4.80,91.20,92.20,1.00,67.80,68.80,1.00,50.96,53.14,2.18,1.62,3.62,1.47,26.9,23.2,3.7,0,1
Duke Blue Devils,1,Kentucky Wildcats,14,72,77,5,128.90,125.30,3.60,89.80,100.90,11.10,66.06,70.80,4.74,57.66,56.17,1.49,1.93,3.09,0.19,39.1,24.4,14.7,0,1
Alabama Crimson Tide,5,Purdue Boilermakers,16,78,87,9,127.30,124.10,3.20,97.90,99.50,1.60,75.00,65.40,9.60,56.57,56.57,0.00,2.99,1.73,0.37,29.4,24.6,4.8,0,1
Arizona Wildcats,10,Wisconsin Badgers,19,88,103,15,120.20,124.00,3.80,95.00,97.30,2.30,70.28,67.70,2.58,52.14,54.95,2.81,2.72,2.62,0.58,25.2,26.7,1.5,0,1
Marquette Golden Eagles,18,Maryland Terrapins,15,78,74,4,118.30,118.50,0.20,95.70,93.70,2.00,67.56,70.10,2.54,52.26,54.50,2.24,2.05,2.14,0.91,22.6,24.8,2.2,1,0
Ohio State Buckeyes,35,Texas A&M Aggies,23,64,78,14,118.10,115.90,2.20,98.60,93.00,5.60,67.51,66.80,0.71,53.70,47.60,6.10,2.16,2.97,1.30,19.5,22.9,3.4,0,1
Colorado State Rams,56,Ole Miss Rebels,31,69,84,15,115.40,118.10,2.70,101.00,96.00,5.00,66.25,68.30,2.05,54.89,51.85,3.04,2.41,3.46,0.05,14.4,22.1,7.7,0,1
New Mexico Lobos,49,St. John's Red Storm,17,71,85,14,113.70,113.90,0.20,96.60,89.20,7.40,73.34,70.10,3.24,51.25,49.54,1.71,2.45,2.36,0.92,17.1,24.7,7.6,0,1
Gonzaga Bulldogs,9,San Diego State Aztecs,54,80,67,13,125.20,110.60,14.60,97.90,93.80,4.10,70.39,66.10,4.29,56.41,50.54,5.87,2.97,1.52,0.92,27.3,16.8,10.5,1,0
Purdue Boilermakers,16,Marquette Golden Eagles,18,58,76,18,124.10,118.30,5.80,99.50,95.70,3.80,65.39,67.60,2.21,56.57,52.26,4.30,1.73,2.05,1.26,24.6,22.6,2,0,1
Illinois Fighting Illini,22,Alabama Crimson Tide,5,87,100,13,121.90,127.30,5.40,97.70,97.90,0.20,71.57,75.00,3.43,52.13,56.57,4.44,1.07,2.99,1.28,24.2,29.4,5.2,0,1
Baylor Bears,21,St. John's Red Storm,17,99,98,1,121.10,113.90,7.20,100.80,89.20,11.60,65.38,70.10,4.72,52.05,49.54,2.51,2.72,2.36,0.00,20.3,24.7,4.4,1,0
Tennessee Volunteers,4,Baylor Bears,21,77,62,15,118.60,121.10,2.50,87.20,100.80,13.60,63.93,65.40,1.47,52.49,52.05,0.44,2.92,2.72,0.20,31.4,20.3,11.1,1,0
Duke Blue Devils,1,Arizona Wildcats,10,69,55,14,128.90,120.20,8.70,89.80,95.00,5.20,66.06,70.30,4.24,57.66,52.14,5.52,1.93,2.72,0.72,39.1,25.2,13.9,1,0
Nebraska Cornhuskers,53,Creighton Bluejays,25,74,63,11,107.10,116.10,9.00,97.60,98.00,0.40,67.55,68.00,0.45,51.57,55.36,3.79,2.79,2.65,0.73,15.6,18.1,2.5,1,0
Georgia Bulldogs,39,Marquette Golden Eagles,18,69,80,11,115.50,118.30,2.80,96.60,95.70,0.90,66.79,67.60,0.81,52.49,52.26,0.23,1.87,2.05,0.85,18.9,22.6,3.7,0,1
Wisconsin Badgers,19,Pittsburgh Panthers,50,81,75,6,124.00,117.20,6.80,97.30,103.10,5.80,67.70,66.30,1.40,54.95,52.53,2.42,2.62,2.72,0.76,26.7,14.1,12.6,1,0
St. John's Red Storm,17,Georgia Bulldogs,39,63,66,3,113.90,115.50,1.60,89.20,96.60,7.40,70.11,66.80,3.31,49.54,52.49,2.96,2.36,1.87,0.60,24.7,18.9,5.8,0,1
Memphis Tigers,42,UConn Huskies,20,99,97,2,119.70,122.40,2.70,98.30,104.10,5.80,70.65,64.30,6.35,54.21,55.74,1.53,3.16,1.75,0.34,16.5,18.3,1.8,1,0
Auburn Tigers,3,Iowa State Cyclones,62,83,81,2,130.70,118.10,12.60,93.10,107.00,13.90,68.56,68.90,0.34,56.05,54.22,1.83,2.79,2.82,0.86,37.6,26.4,11.2,1,0
Kansas Jayhawks,11,Duke Blue Devils,1,75,72,3,115.40,128.90,13.50,92.20,89.80,2.40,68.76,66.10,2.66,53.14,57.66,4.53,3.62,1.93,1.38,23.2,39.1,15.9,1,0
Auburn Tigers,3,North Carolina Tar Heels,27,85,72,13,130.70,119.20,11.50,93.10,102.00,8.90,68.56,70.90,2.34,56.05,54.26,1.79,2.79,2.24,0.15,37.6,17.2,20.4,1,0
Alabama Crimson Tide,5,Houston Cougars,2,85,80,5,127.30,124.90,2.40,97.90,89.50,8.40,75.00,61.20,13.80,56.57,53.21,3.37,2.99,2.63,0.30,29.4,35.4,6,1,0
Texas A&M Aggies,23,Oregon Ducks,37,70,80,10,115.90,117.80,1.90,93.00,98.20,5.20,66.77,68.10,1.33,47.60,52.36,4.76,2.97,2.69,1.45,22.9,19.6,3.3,0,1
Creighton Bluejays,25,San Diego State Aztecs,54,53,71,18,116.10,110.60,5.50,98.00,93.80,4.20,68.00,66.10,1.90,55.36,50.54,4.82,2.65,1.52,0.51,18.1,16.8,1.3,0,1
Gonzaga Bulldogs,9,West Virginia Mountaineers,48,78,86,8,125.20,110.20,15.00,97.90,94.60,3.30,70.39,64.40,5.99,56.41,49.97,6.44,2.97,2.14,0.18,27.3,15.6,11.7,0,1
Memphis Tigers,42,Auburn Tigers,3,76,90,14,114.80,130.70,15.90,98.30,93.10,5.20,70.65,68.60,2.05,54.21,56.05,1.84,3.16,2.79,0.91,16.5,37.6,21.1,0,1
Michigan State Spartans,12,North Carolina Tar Heels,27,94,91,3,118.10,119.20,1.10,91.20,102.00,10.80,67.80,70.90,3.10,50.96,54.26,3.30,1.62,2.24,0.65,26.9,17.2,9.7,1,0
Louisville Cardinals,30,Indiana Hoosiers,52,89,61,28,118.90,115.40,3.50,96.40,98.80,2.40,69.15,68.40,0.75,53.55,52.13,1.42,3.17,2.27,0.21,22.5,16.6,5.9,1,0
Creighton Bluejays,25,Texas A&M Aggies,23,73,77,4,116.10,115.90,0.20,98.00,93.00,5.00,68.00,66.80,1.20,55.36,47.60,7.76,2.65,2.97,0.41,18.1,22.9,4.8,0,1
Xavier Musketeers,40,Michigan Wolverines,33,53,78,25,114.90,117.10,2.20,98.30,96.00,2.30,69.20,69.80,0.60,53.57,55.62,2.05,3.54,2.24,1.27,16.6,21.1,4.5,0,1
Gonzaga Bulldogs,9,Indiana Hoosiers,52,89,73,16,125.20,115.40,9.80,97.90,98.80,0.90,70.39,68.40,1.99,56.41,52.13,4.28,2.97,2.27,1.44,27.3,16.6,10.7,1,0
Illinois Fighting Illini,22,Arkansas Razorbacks,43,90,77,13,121.90,111.80,11.70,97.70,95.00,2.70,71.57,69.20,2.37,52.13,52.28,0.15,1.07,1.54,2.39,24.2,16.8,7.4,1,0
BYU Cougars,24,Ole Miss Rebels,31,85,96,11,123.50,118.10,5.40,101.20,96.00,5.20,67.28,68.30,1.02,57.79,51.85,5.95,1.92,3.46,0.39,22.3,22.1,0.2,0,1
Arizona Wildcats,10,Oklahoma Sooners,51,77,82,5,120.20,118.40,1.80,95.00,101.80,6.80,70.28,68.70,1.58,52.14,54.78,2.64,2.72,2.31,0.16,25.2,16.6,8.6,0,1
Ole Miss Rebels,31,Butler Bulldogs,16,78,80,2,118.10,116.70,1.40,96.00,99.50,3.50,68.33,67.90,0.43,51.85,53.25,1.40,3.46,2.89,1.32,22.1,11.5,10.6,0,1
Arizona Wildcats,10,West Virginia Mountaineers,48,76,83,7,120.20,110.20,10.00,95.00,94.60,0.40,70.28,64.40,5.88,52.14,49.97,2.17,2.72,2.14,0.45,25.2,15.6,9.6,0,1
Butler Bulldogs,61,Mississippi State Bulldogs,36,87,77,10,116.70,119.10,2.40,105.20,98.70,6.50,67.87,67.90,0.03,53.25,51.98,1.27,2.89,2.27,0.25,11.5,20.4,8.9,1,0
San Diego State Aztecs,54,Houston Cougars,2,73,70,3,110.60,124.90,14.30,93.80,98.50,4.70,66.05,61.20,4.85,50.54,53.21,2.67,1.52,2.63,1.47,16.8,35.4,18.6,1,0
Oregon Ducks,37,Alabama Crimson Tide,5,83,81,2,117.80,127.30,9.50,98.20,97.90,0.30,68.10,75.00,6.90,52.36,56.57,4.21,2.69,2.99,0.48,19.6,29.4,9.8,1,0
Duke Blue Devils,1,Louisville Cardinals,30,76,65,11,128.90,118.90,10.00,89.80,96.40,6.60,66.10,69.10,3.00,57.66,53.55,4.11,1.93,3.17,1.25,39.1,22.5,16.6,1,0
Cincinnati Bearcats,38,Villanova Wildcats,41,60,68,8,112.60,119.70,7.10,96.50,104.60,8.10,65.50,63.20,2.30,51.79,55.41,3.62,2.21,2.87,0.66,16.1,15.1,1,0,1
Northwestern Wildcats,46,Iowa State Cyclones,7,79,80,1,115.00,118.10,3.10,98.40,93.10,5.30,64.90,68.90,4.00,50.09,54.22,4.13,2.28,2.82,0.54,16.6,26.4,9.8,0,1
Ole Miss Rebels,31,Louisville Cardinals,30,86,63,23,118.10,118.90,0.80,96.00,96.40,0.40,68.30,69.10,0.80,51.85,53.55,1.70,3.46,3.17,0.29,22.1,22.5,0.4,1,0
Michigan Wolverines,33,Wisconsin Badgers,19,67,64,3,117.10,124.00,6.90,96.00,97.30,1.30,69.80,67.70,2.10,55.62,54.95,0.67,2.24,2.62,0.38,21.1,26.7,5.6,1,0
Kentucky Wildcats,14,Clemson Tigers,13,66,70,4,125.30,121.00,4.30,100.90,96.40,4.50,70.80,64.10,6.70,56.17,54.51,1.67,3.09,3.02,0.07,24.4,24.6,0.2,0,1
Ohio State Buckeyes,35,Maryland Terrapins,15,59,83,24,118.10,118.50,0.40,98.60,93.70,4.90,67.50,70.10,2.60,53.70,54.50,0.80,2.16,2.14,0.02,19.5,24.8,5.3,0,1
Alabama Crimson Tide,5,North Carolina Tar Heels,27,94,79,15,127.30,119.20,8.10,97.90,102.00,4.10,75.00,70.90,4.10,56.57,54.26,2.32,2.99,2.24,0.75,29.4,17.2,12.2,1,0
Marquette Golden Eagles,18,Iowa State Cyclones,7,70,81,11,118.30,119.50,1.20,95.70,93.10,2.60,67.60,68.90,1.30,52.26,54.22,1.95,2.05,2.82,0.77,22.6,26.4,3.8,0,1
Kansas Jayhawks,11,Creighton Bluejays,25,63,76,13,115.40,116.10,0.70,92.20,98.00,5.80,68.80,68.00,0.80,53.14,55.36,2.22,3.62,2.65,0.97,23.2,18.1,5.1,0,1
Auburn Tigers,3,Duke Blue Devils,1,78,84,6,130.70,128.90,1.80,93.10,89.80,3.30,68.60,66.10,2.50,56.05,57.66,1.61,2.79,1.93,0.86,37.6,39.1,1.5,0,1
Oregon Ducks,37,USC Trojans,60,68,60,8,117.80,116.70,1.10,98.20,104.20,6.00,68.10,68.60,0.50,52.36,54.22,1.86,2.69,2.53,0.16,19.6,12.5,7.1,1,0
Purdue Boilermakers,16,Penn State Nittany Lions,59,70,81,11,124.10,114.70,9.40,99.50,102.20,2.70,65.40,70.00,4.60,56.57,53.68,2.88,1.73,2.49,0.76,24.6,12.5,12.1,0,1
Xavier Musketeers,40,TCU Horned Frogs,63,72,76,4,114.90,107.10,7.80,98.30,97.40,0.90,69.20,66.90,2.30,53.57,47.58,5.99,3.54,1.94,1.60,16.6,9.7,6.9,0,1
Illinois Fighting Illini,22,Northwestern Wildcats,46,66,70,4,121.90,115.00,6.90,97.70,98.40,0.70,71.60,64.90,6.70,52.13,50.09,2.04,1.07,2.28,1.21,24.2,16.6,7.6,0,1
Wisconsin Badgers,19,Marquette Golden Eagles,18,74,88,14,124.00,118.30,5.70,97.30,95.70,1.60,67.70,67.60,0.10,54.95,52.26,2.68,2.62,2.05,0.57,26.7,22.6,4.1,0,1
Butler Bulldogs,61,Houston Cougars,2,51,79,28,116.70,124.90,8.20,105.20,89.50,15.70,67.90,61.20,6.70,53.25,53.21,0.04,2.89,2.63,0.25,11.5,35.4,23.9,0,1
Iowa State Cyclones,7,Michigan Wolverines,33,83,85,2,118.10,117.10,1.00,93.10,96.00,2.90,68.90,69.80,0.90,54.22,55.62,1.40,2.82,2.24,0.58,26.4,21.1,5.3,0,1
Kentucky Wildcats,14,Gonzaga Bulldogs,9,90,89,1,125.30,125.20,0.10,100.90,97.90,3.00,70.80,70.40,0.40,56.17,56.41,0.24,3.09,2.97,0.12,24.4,27.3,2.9,1,0
Kansas Jayhawks,11,Missouri Tigers,28,67,76,9,115.40,126.20,10.80,92.20,100.40,8.20,68.80,68.30,0.50,53.14,56.80,3.66,3.62,2.64,0.98,23.2,25.8,2.6,0,1
Maryland Terrapins,15,Purdue Boilermakers,16,78,83,5,118.50,124.10,5.60,93.70,99.50,5.80,70.10,65.40,4.70,54.50,56.57,2.07,2.14,1.73,0.41,24.8,24.6,0.2,0,1
UCLA Bruins,26,Oregon Ducks,37,73,71,2,116.50,117.80,1.30,95.00,98.20,3.20,64.90,68.10,3.20,52.94,52.36,0.58,2.23,2.69,0.46,21.5,19.6,1.9,1,0
Texas A&M Aggies,23,Texas Tech Red Raiders,8,72,67,5,115.90,124.30,8.40,93.00,96.70,3.70,66.80,65.80,1.00,47.60,55.64,8.04,2.97,2.67,0.29,22.9,27.6,4.7,1,0
UConn Huskies,20,Texas Longhorns,34,76,65,11,122.40,116.70,5.70,104.10,100.70,3.40,64.30,67.40,3.10,55.74,52.90,2.85,1.75,2.85,1.09,18.3,16,2.3,1,0
Vanderbilt Commodores,55,TCU Horned Frogs,63,83,74,9,119.90,107.10,12.80,102.10,97.40,4.70,69.40,66.90,2.50,52.27,47.58,4.69,2.39,1.94,0.45,17.8,9.7,8.1,1,0
Michigan Wolverines,33,Arkansas Razorbacks,43,87,89,2,117.10,111.80,5.30,96.00,95.00,1.00,69.80,69.20,0.60,55.62,52.28,3.34,2.24,1.54,0.70,21.1,16.8,4.3,0,1
Wisconsin Badgers,19,Illinois Fighting Illini,22,80,86,6,124.00,121.90,2.10,97.30,97.70,0.40,67.70,71.60,3.90,54.95,52.13,2.82,2.62,1.07,1.55,26.7,24.2,2.5,0,1
Indiana Hoosiers,52,Nebraska Cornhuskers,53,68,85,17,115.40,113.20,2.20,98.80,97.60,1.20,68.40,67.50,0.90,52.13,51.57,0.56,2.27,2.79,0.52,16.6,15.6,1,0,1
UCLA Bruins,26,Arizona Wildcats,10,57,54,3,116.50,120.20,3.70,95.00,95.00,0.00,64.90,70.30,5.40,52.94,52.14,0.80,2.23,2.72,0.49,21.5,25.2,3.7,1,0
Tennessee Volunteers,4,Illinois Fighting Illini,22,66,64,2,118.60,121.90,3.30,87.20,97.70,10.50,63.90,71.60,7.70,52.49,52.13,0.36,2.92,1.07,1.85,31.4,24.2,7.2,1,0
Louisville Cardinals,30,Kentucky Wildcats,14,85,93,8,118.90,125.30,6.40,96.40,100.90,4.50,69.10,70.80,1.70,53.55,56.17,2.62,3.17,3.09,0.09,22.5,24.4,1.9,0,1
Creighton Bluejays,25,Alabama Crimson Tide,5,75,83,8,116.10,127.30,11.20,98.00,97.90,0.10,68.00,75.00,7.00,55.36,56.57,1.21,2.65,2.99,0.34,18.1,29.4,11.3,0,1
Gonzaga Bulldogs,9,UConn Huskies,20,71,77,6,125.20,122.40,2.80,97.90,104.10,6.20,70.40,64.30,6.10,56.41,55.74,0.67,2.97,1.75,1.22,27.3,18.3,9,0,1
Texas A&M Aggies,23,Purdue Boilermakers,16,70,66,4,115.90,124.10,8.20,93.00,99.50,6.50,66.80,65.40,1.40,47.60,56.57,8.97,2.97,1.73,1.23,22.9,24.6,1.7,1,0
Memphis Tigers,42,Clemson Tigers,13,87,82,5,114.80,121.00,6.20,98.30,96.40,1.90,70.60,64.10,6.50,54.21,54.51,0.29,3.16,3.02,0.14,16.5,24.6,8.1,1,0
Wisconsin Badgers,19,Butler Bulldogs,61,83,74,9,124.00,116.70,7.30,97.30,105.20,7.90,67.70,67.90,0.20,54.95,53.25,1.70,2.62,2.89,0.27,26.7,11.5,15.2,1,0
Xavier Musketeers,40,Cincinnati Bearcats,38,65,68,3,114.90,112.60,2.30,98.30,96.50,1.80,69.20,65.50,3.70,53.57,51.79,1.78,3.54,2.21,1.33,16.6,16.1,0.5,0,1
UCLA Bruins,26,Arizona Wildcats,10,57,54,3,116.50,120.20,3.70,95.00,95.00,0.00,64.90,70.30,5.40,52.94,52.14,0.80,2.23,2.72,0.49,21.5,25.2,3.7,1,0
Florida Gators,6,North Carolina Tar Heels,27,90,84,6,126.90,119.20,7.70,93.00,102.00,9.00,69.50,70.90,1.40,54.40,54.26,0.14,2.41,2.24,0.17,33.9,17.2,16.7,1,0
Butler Bulldogs,61,Marquette Golden Eagles,18,70,80,10,116.70,118.30,1.60,105.20,95.70,9.50,67.90,67.60,0.30,53.25,52.26,0.98,2.89,2.05,0.84,11.5,22.6,11.1,0,1
Xavier Musketeers,40,UConn Huskies,20,89,94,5,114.90,122.40,7.50,98.30,104.10,5.80,69.20,64.30,4.90,53.57,55.74,2.17,3.54,1.75,1.78,16.6,18.3,1.7,0,1
Michigan Wolverines,33,Oklahoma Sooners,51,86,87,1,117.10,118.40,1.30,96.00,101.80,5.80,69.80,68.70,1.10,55.62,54.78,0.84,2.24,2.31,0.07,21.1,16.6,4.5,0,1
VCU Rams,32,New Mexico Lobos,49,71,78,7,117.00,113.70,3.30,95.70,96.60,0.90,66.50,73.30,6.80,53.16,51.25,1.92,2.64,2.45,0.20,21.3,17.1,4.2,0,1
Purdue Boilermakers,16,Auburn Tigers,3,69,87,18,124.10,130.70,6.60,99.50,93.10,6.40,65.40,68.60,3.20,56.57,56.05,0.52,1.73,2.79,1.06,24.6,37.6,13,0,1
Marquette Golden Eagles,18,Xavier Musketeers,40,72,70,2,118.30,114.90,3.40,95.70,98.30,2.60,67.60,69.20,1.60,52.26,53.57,1.31,2.05,3.54,1.48,22.6,16.6,6,1,0
UConn Huskies,20,Butler Bulldogs,61,78,74,4,122.40,116.70,5.70,104.10,105.20,1.10,64.30,67.90,3.60,55.74,53.25,2.50,1.75,2.89,1.14,18.3,11.5,6.8,1,0
North Carolina Tar Heels,27,UCLA Bruins,26,76,74,2,119.20,116.50,2.70,102.00,95.00,7.00,70.90,64.90,6.00,54.26,52.94,1.32,2.24,2.23,0.01,17.2,21.5,4.3,1,0
Villanova Wildcats,41,Creighton Bluejays,25,79,86,7,119.70,116.10,3.60,104.60,98.00,6.60,63.20,68.00,4.80,55.41,55.36,0.05,2.87,2.65,0.22,15.1,18.1,3,0,1
Utah Utes,58,Iowa State Cyclones,7,88,95,7,113.60,118.10,4.50,102.00,93.10,8.90,68.80,68.90,0.10,52.58,54.22,1.64,2.04,2.82,0.78,11.6,26.4,14.8,0,1
Illinois Fighting Illini,22,Missouri Tigers,28,80,77,3,121.90,126.20,4.30,97.70,100.40,2.70,71.60,68.30,3.30,52.13,56.80,4.67,1.07,2.64,1.57,24.2,25.8,1.6,1,0
Gonzaga Bulldogs,9,UCLA Bruins,26,62,65,3,125.20,116.50,8.70,97.90,95.00,2.90,70.40,64.90,5.50,56.41,52.94,3.47,2.97,2.23,0.74,27.3,21.5,5.8,0,1
Ole Miss Rebels,31,Memphis Tigers,42,70,87,17,118.10,114.80,3.30,96.00,98.30,2.30,68.30,70.60,2.30,51.85,54.21,2.37,3.46,3.16,0.31,22.1,16.5,5.6,0,1
TCU Horned Frogs,63,Arizona Wildcats,10,81,90,9,107.10,120.20,13.10,97.40,95.00,2.40,66.90,70.30,3.40,47.58,52.14,4.56,1.94,2.72,0.78,9.7,25.2,15.5,0,1
West Virginia Mountaineers,48,Kansas Jayhawks,11,62,61,1,110.20,115.40,5.20,94.60,92.20,2.40,64.40,68.80,4.40,49.97,53.14,3.17,2.14,3.62,1.47,15.6,23.2,7.6,1,0
Utah Utes,58,Baylor Bears,21,56,81,25,113.60,121.10,7.50,102.00,100.80,1.20,68.80,65.40,3.40,52.58,52.05,0.53,2.04,2.72,0.69,11.6,20.3,8.7,0,1
Northwestern Wildcats,46,Penn State Nittany Lions,59,80,84,4,115.00,114.70,0.30,98.40,102.20,3.80,64.86,70.01,5.15,50.09,53.68,3.60,2.28,2.49,0.20,16.6,12.5,4.1,0,1
Illinois Fighting Illini,22,Oregon Ducks,37,109,77,32,121.90,117.80,4.10,97.70,98.20,0.50,71.57,68.10,3.47,52.13,52.36,0.24,1.07,2.69,1.62,24.2,19.6,4.6,1,0
Creighton Bluejays,25,Marquette Golden Eagles,18,71,79,8,116.10,118.30,2.20,98.00,95.70,2.30,68.00,67.56,0.44,55.36,52.26,3.10,2.65,2.05,0.60,18.1,22.6,4.5,0,1
Iowa Hawkeyes,7,Wisconsin Badgers,19,85,116,31,118.10,124.00,5.90,107.00,97.30,9.70,70.01,67.70,2.31,56.34,54.95,1.39,1.77,2.62,0.85,11.1,26.7,15.6,0,1
Michigan State Spartans,12,Ohio State Buckeyes,35,69,62,7,118.10,118.10,0.00,91.20,98.60,7.40,67.80,67.51,0.29,50.96,53.70,2.75,1.62,2.16,0.55,26.9,19.5,7.4,1,0
Florida Gators,6,Kentucky Wildcats,14,100,106,6,126.90,125.30,1.60,93.00,100.90,7.90,69.49,70.82,1.33,54.40,56.17,1.78,2.41,3.09,0.68,33.9,24.4,9.5,0,1
Arkansas Razorbacks,43,Tennessee Volunteers,4,52,76,24,111.80,118.60,6.80,95.00,87.20,7.80,69.16,63.93,5.23,52.28,52.49,0.21,1.54,2.92,1.39,16.8,31.4,14.6,0,1
BYU Cougars,24,Houston Cougars,2,55,86,31,123.50,124.90,1.40,101.20,89.50,11.70,67.28,61.18,6.10,57.79,53.21,4.59,1.92,2.63,0.71,22.3,35.4,13.1,0,1
Duke Blue Devils,1,SMU Mustangs,44,89,62,27,128.90,118.70,10.20,89.80,102.10,12.30,66.06,69.10,3.04,57.66,55.08,2.58,1.93,2.76,0.83,39.1,16.6,22.5,1,0
Missouri Tigers,28,Auburn Tigers,3,68,84,16,126.20,130.70,4.50,100.40,93.10,7.30,68.31,68.56,0.25,56.80,56.05,0.75,2.64,2.79,0.15,25.8,37.6,11.8,0,1
Texas Tech Red Raiders,8,Utah Utes,58,93,65,28,124.30,113.60,10.70,96.70,102.00,5.30,65.85,68.82,2.98,55.64,52.58,3.06,2.67,2.04,0.64,27.6,11.6,16,1,0
Texas Longhorns,34,Texas A&M Aggies,23,60,80,20,116.70,115.90,0.80,100.70,93.00,7.70,67.42,66.77,0.64,52.90,47.60,5.30,2.85,2.97,0.12,16,22.9,6.9,0,1
UCLA Bruins,26,Nebraska Cornhuskers,53,58,66,8,116.50,113.20,3.30,95.00,97.60,2.60,64.91,67.55,2.64,52.94,51.57,1.37,2.23,2.79,0.55,21.5,15.6,5.9,0,1
Baylor Bears,21,Iowa State Cyclones,62,55,74,19,121.10,119.50,1.60,100.80,93.10,7.70,65.38,68.94,3.56,52.05,54.22,2.17,2.72,2.82,0.10,20.3,26.4,6.1,0,1
Butler Bulldogs,61,St. John's Red Storm,17,62,70,8,116.70,113.90,2.80,105.20,89.20,16.00,67.87,70.11,2.24,53.25,49.54,3.71,2.89,2.36,0.53,11.5,24.7,13.2,0,1
Arizona Wildcats,10,Cincinnati Bearcats,38,72,67,5,120.20,112.60,7.60,95.00,96.50,1.50,70.28,65.54,4.74,52.14,51.79,0.35,2.72,2.21,0.51,25.2,16.1,9.1,1,0
San Diego State Aztecs,54,Boise State Broncos,47,76,68,8,110.60,116.70,6.10,93.80,100.30,6.50,66.05,65.93,0.13,50.54,52.91,2.38,1.52,2.13,0.61,16.8,16.4,0.4,1,0
Kansas State Wildcats,64,TCU Horned Frogs,63,62,63,1,111.60,107.10,4.50,99.40,97.40,2.00,67.53,66.93,0.60,51.30,47.58,3.72,2.55,1.94,0.61,12.2,9.7,2.5,0,1
Oklahoma Sooners,51,Alabama Crimson Tide,5,79,107,28,118.40,127.30,8.90,101.80,97.90,3.90,68.74,75.00,6.27,54.78,56.57,1.79,2.31,2.99,0.68,16.6,29.4,12.8,0,1
Indiana Hoosiers,52,Penn State Nittany Lions,59,77,71,6,115.40,114.70,0.70,98.80,102.20,3.40,68.38,70.01,1.63,52.13,53.68,1.55,2.27,2.49,0.22,16.6,12.5,4.1,1,0
Northwestern Wildcats,46,Purdue Boilermakers,16,61,79,18,115.00,124.10,9.10,98.40,99.50,1.10,64.86,65.39,0.53,50.09,56.57,6.48,2.28,1.73,0.55,16.6,24.6,8,0,1
Maryland Terrapins,15,Oregon Ducks,37,79,83,4,118.50,117.80,0.70,93.70,98.20,4.50,70.08,68.10,1.98,54.50,52.36,2.14,2.14,2.69,0.55,24.8,19.6,5.2,0,1
TCU Horned Frogs,63,Houston Cougars,2,46,65,19,107.10,124.90,17.80,97.40,89.50,7.90,66.93,61.18,5.75,47.58,53.21,5.63,1.94,2.63,0.69,9.7,35.4,25.7,0,1
Tennessee Volunteers,4,Florida Gators,6,43,73,30,118.60,126.90,8.30,87.20,93.00,5.80,63.93,69.49,5.56,52.49,54.40,1.91,2.92,2.41,0.51,31.4,33.9,2.5,0,1
Clemson Tigers,13,Louisville Cardinals,30,64,74,10,121.00,118.90,2.10,96.40,96.40,0.00,64.08,69.15,5.07,54.51,53.55,0.96,3.02,3.17,0.16,24.6,22.5,2.1,0,1
Kentucky Wildcats,14,Georgia Bulldogs,39,69,82,13,125.30,115.50,9.80,100.90,96.60,4.30,70.82,66.79,4.03,56.17,52.49,3.68,3.09,1.87,1.22,24.4,18.9,5.5,0,1
Nebraska Cornhuskers,53,Iowa Hawkeyes,7,87,97,10,113.20,118.10,4.90,97.60,107.00,9.40,67.55,70.01,2.46,51.57,56.34,4.77,2.79,1.77,1.01,15.6,11.1,4.5,0,1
